r,g,b,ordem,hex,completitionYear
62,59,42,104,#3E3B2A,1934
201,194,187,109,#C9C2BB,1934
22,20,14,119,#16140E,1934
187,50,33,18,#BB3221,1935
43,66,117,40,#2B4275,1935
42,132,173,42,#2A84AD,1935
97,124,31,72,#617C1F,1935
185,170,28,93,#B9AA1C,1935
66,53,40,104,#423528,1935
152,158,158,108,#989E9E,1935
201,205,186,109,#C9CDBA,1935
115,110,99,116,#736E63,1935
27,19,13,119,#1B130D,1935
234,231,205,1,#EAE7CD,1936
175,79,24,18,#AF4F18,1936
102,131,160,44,#6683A0,1936
195,153,54,93,#C39936,1936
126,124,105,99,#7E7C69,1936
163,159,139,100,#A39F8B,1936
89,85,76,103,#59554C,1936
74,53,27,104,#4A351B,1936
195,195,177,109,#C3C3B1,1936
23,21,15,119,#17150F,1936
176,73,22,18,#B04916,1937
56,96,129,41,#386081,1937
112,105,78,75,#70694E,1937
208,177,41,93,#D0B129,1937
184,156,102,94,#B89C66,1937
73,57,45,104,#49392D,1937
128,143,131,107,#808F83,1937
221,217,204,110,#DDD9CC,1937
182,179,163,114,#B6B3A3,1937
25,20,16,119,#191410,1937
31,115,144,52,#1F7390,1938
171,53,28,78,#AB351C,1938
207,143,51,93,#CF8F33,1938
215,194,155,95,#D7C29B,1938
110,96,77,98,#6E604D,1938
142,133,118,99,#8E8576,1938
67,59,46,104,#433B2E,1938
172,172,149,108,#ACAC95,1938
222,222,207,110,#DEDECF,1938
30,19,13,119,#1E130D,1938
179,49,17,18,#B33111,1939
78,101,128,41,#4E6580,1939
201,159,50,93,#C99F32,1939
136,103,55,102,#886737,1939
72,76,73,104,#484C49,1939
78,52,32,104,#4E3420,1939
140,133,123,107,#8C857B,1939
180,171,154,108,#B4AB9A,1939
222,214,194,110,#DED6C2,1939
29,22,17,119,#1D1611,1939
173,176,61,73,#ADB03D,1940
215,169,107,88,#D7A96B,1940
164,114,56,96,#A47238,1940
151,149,124,99,#97957C,1940
89,75,57,103,#594B39,1940
47,44,25,104,#2F2C19,1940
172,173,152,108,#ACAD98,1940
210,202,167,109,#D2CAA7,1940
228,224,197,110,#E4E0C5,1940
124,114,96,116,#7C7260,1940
178,31,24,19,#B21F18,1941
65,100,137,41,#416489,1941
118,116,92,75,#76745C,1941
202,154,53,93,#CA9A35,1941
151,138,121,99,#978A79,1941
103,82,67,101,#675243,1941
60,54,45,104,#3C362D,1941
185,171,155,108,#B9AB9B,1941
219,213,203,110,#DBD5CB,1941
25,17,13,119,#19110D,1941
57,77,116,40,#394D74,1942
171,64,24,78,#AB4018,1942
214,172,49,93,#D6AC31,1942
196,176,155,95,#C4B09B,1942
124,112,96,97,#7C7060,1942
89,71,62,103,#59473E,1942
57,40,41,104,#392829,1942
